n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
361,1093343,1092982,8.38961487,1.42465423,0.44155868
362,1101197,1100835,8.40326150,1.42630159,0.44166562
363,444,81,0.00336953,0.00057165,0.00017685
364,1122301,1121937,8.47045194,1.43636271,0.44397232
365,1131194,1130829,8.49085382,1.43915280,0.44443160
366,1152667,1152301,8.60481800,1.45779308,0.44978104
367,592,225,0.00439531,0.00074429,0.00022943
368,1172073,1171705,8.65483961,1.46491505,0.45116470
369,1179299,1178930,8.66106301,1.46529538,0.45087693
370,1225150,1224780,8.94923302,1.51335562,0.46524847
371,416,45,0.00302236,0.00051086,0.00015691
372,679,307,0.00490664,0.00082898,0.00025440
373,1240465,1240092,8.91593413,1.50566851,0.46164957
374,1261472,1261098,9.01850210,1.52230127,0.46633564
375,1291328,1290953,9.18277689,1.54933212,0.47419656
376,1299778,1299402,9.19376698,1.55048971,0.47413233
377,1306411,1306034,9.19172723,1.54945167,0.47339804
378,444,66,0.00310742,0.00052358,0.00015983
379,1348211,1347832,9.38597615,1.58078634,0.48212521
380,1360475,1360095,9.42157202,1.58607751,0.48331645
381,1382600,1382219,9.52459683,1.60271216,0.48795988
382,974,592,0.00667471,0.00112266,0.00034151
383,1394362,1393979,9.50556620,1.59810193,0.48571174
384,717,333,0.00486247,0.00081713,0.00024814
385,416,31,0.00280654,0.00047143,0.00014303
386,1419337,1418951,9.52600741,1.59944048,0.48486101
387,1464958,1464571,9.78145010,1.64161680,0.49721905
388,1496948,1496560,9.94359124,1.66810641,0.50480936
389,2907,2518,0.01921082,0.00322136,0.00097403
390,2162,1772,0.01421433,0.00238250,0.00071977
391,1516297,1515906,9.91815203,1.66169174,0.50158251
392,592,200,0.00385256,0.00064518,0.00019458
393,2114,1721,0.01368737,0.00229123,0.00069044
394,3301,2907,0.02126440,0.00355809,0.00107128
395,416,21,0.00266624,0.00044594,0.00013415
396,3358,2962,0.02141363,0.00358003,0.00107608
397,1518601,1518204,9.63524291,1.61018474,0.48357898
398,37789,37391,0.23856089,0.03985013,0.01195798
399,444,45,0.00278893,0.00046568,0.00013962
400,625,225,0.00390625,0.00065197,0.00019531
401,1566396,1565995,9.74120808,1.62517030,0.48645272
402,1589811,1589409,9.83769585,1.64058608,0.49065967
403,416,13,0.00256143,0.00042698,0.00012759
404,2518,2114,0.01542741,0.00257063,0.00076754
405,1598718,1598313,9.74679470,1.62341406,0.48432212
406,1607082,1606676,9.74958140,1.62321148,0.48386360
407,1642991,1642584,9.91850841,1.65066014,0.49164221
408,416,8,0.00249904,0.00041573,0.00012372
409,1656093,1655684,9.90006636,1.64624797,0.48952678
410,717,307,0.00426532,0.00070898,0.00021065
411,1695475,1695064,10.03708834,1.66768013,0.49509306
412,416,4,0.00245075,0.00040703,0.00012074
413,444,31,0.00260305,0.00043215,0.00012809
414,416,2,0.00242713,0.00040278,0.00011929
415,416,1,0.00241544,0.00040069,0.00011857
416,1727381,1726965,9.98163022,1.65514030,0.48938969
417,3718,3301,0.02138146,0.00354403,0.00104705
418,1135,717,0.00649596,0.00107630,0.00031773
419,1746907,1746488,9.95042749,1.64800268,0.48611019
420,1772852,1772432,10.05018141,1.66386715,0.49039864
421,3779,3358,0.02132125,0.00352847,0.00103913
422,1785186,1784764,10.02440421,1.65829535,0.48798036
423,444,21,0.00248143,0.00041033,0.00012065
424,1793361,1792937,9.97553066,1.64892069,0.48445459
425,625,200,0.00346021,0.00057174,0.00016784
426,592,166,0.00326214,0.00053880,0.00015805
427,10247,9820,0.05620060,0.00927895,0.00271974
428,1824523,1824095,9.96005656,1.64381153,0.48143751
429,1847189,1846760,10.03683418,1.65584517,0.48458292
430,1880931,1880501,10.17269335,1.67761439,0.49057083
431,444,13,0.00239017,0.00039402,0.00011513
432,1926203,1925771,10.32130380,1.70082069,0.49658396
433,1948955,1948522,10.39503651,1.71231850,0.49955357
434,1953451,1953017,10.37105800,1.70771973,0.49782671
435,1977546,1977111,10.45076496,1.72019255,0.50107583
436,444,8,0.00233566,0.00038430,0.00011186
437,1983187,1982750,10.38486351,1.70805553,0.49677539
438,2907,2469,0.01515294,0.00249135,0.00072404
439,2114,1675,0.01096922,0.00180281,0.00052353
440,444,4,0.00229339,0.00037678,0.00010933
441,2162,1721,0.01111677,0.00182570,0.00052937
442,444,2,0.00227268,0.00037310,0.00010810
443,444,1,0.00226243,0.00037128,0.00010749
444,2962,2518,0.01502516,0.00246483,0.00071306
445,2017370,2016925,10.18745108,1.67060134,0.48293150
446,2045298,2044852,10.28221963,1.68552164,0.48687721
447,2083000,2082553,10.42495583,1.70829262,0.49308349
448,592,144,0.00294962,0.00048316,0.00013936
449,2099636,2099187,10.41480945,1.70538242,0.49150525
450,2106887,2106437,10.40438025,1.70305428,0.49046719
451,3358,2907,0.01650926,0.00270136,0.00077739
452,2140204,2139752,10.47558540,1.71346581,0.49273009
453,2158397,2157944,10.51804258,1.71978877,0.49418075
454,679,225,0.00329426,0.00053845,0.00015461
455,2164773,2164318,10.45657771,1.70850810,0.49021192
456,1135,679,0.00545841,0.00089153,0.00025561
457,2192110,2191653,10.49614793,1.71374539,0.49098909
458,1175,717,0.00560153,0.00091426,0.00026174
459,625,166,0.00296657,0.00048402,0.00013847
460,6210,5750,0.02934783,0.00478662,0.00136835
461,2255614,2255153,10.61360524,1.73046086,0.49432488
462,2315745,2315283,10.84942655,1.76828487,0.50476100
463,2327878,2327415,10.85921005,1.76925594,0.50467029
464,12222,11758,0.05676836,0.00924583,0.00263540
465,2350879,2350414,10.87237368,1.77015752,0.50419426
466,2374873,2374407,10.93625320,1.77993535,0.50661215
467,2437642,2437175,11.17728083,1.81852946,0.51722287
468,2443782,2443314,11.15759917,1.81469573,0.51576020
469,2485219,2484750,11.29845291,1.83696677,0.52171408
470,2498912,2498442,11.31241286,1.83859976,0.52180269
471,2552306,2551835,11.50511402,1.86927364,0.53012767
472,192325,191853,0.86328013,0.14021164,0.03973569
473,2586419,2585946,11.56049953,1.87698011,0.53155233
474,2648061,2647587,11.78613203,1.91295819,0.54135497
475,2656627,2656152,11.77452410,1.91042069,0.54025222
476,1450,974,0.00639962,0.00103799,0.00029333
477,2673939,2673462,11.75207995,1.90548010,0.53809078
478,3779,3301,0.01653945,0.00268079,0.00075650
479,679,200,0.00295937,0.00047951,0.00013522
480,2701057,2700577,11.72333767,1.89888951,0.53509471
481,625,144,0.00270141,0.00043741,0.00012317
